"state","GEOID","county_name","nTracts","nZip","ovarea3","ovpct3","arearank3","RpctTfld","Rscen3","ovarea6","ovpct6","arearank6","RtrFld6","Rscen6","ctyEmp","empz","empzw3","Remp3","empzw6","Remp6","RsmEmp3","RsmEmp6","commEng","commRel","recEng","recRel","mnFshScr","Rfish","fshRnk","pop15","ppct3","popw3","rankp3","ppct6","popw6","rankp6","houseu","hpct3","housew3","rankh3","hpct6","housew6","rankh6","smHse","seashw3","smHse3","seashw6","smHse6","sovich3","sovi3","sovich6","sovi6","OempTot","OceanPct","OceanRnk","totRd3","fldRoad3","pctRd3","rd3kmRnk","rd3PcRnk","rdRnkMn3","totRd6","fldRd6","pctRd6","rd6KmRnk","rd6PctRnk","rdRnkMn6","totRl3","fldRl3","pctRl3","rl3kmRnk","rl3PctRnk","rlRnkKmMn3","totRl6","fldRl6","pctRl6","rl6kmRnk","rl6PctRnk","rlRnkKmMn6","rr3Rank","rrRnk3Mean","rr6Rnk","rrRnk6Mn","totInfra","rnkScr3","rnkInfFld3","rnkScr6","rnkInfFld6"
"New Jersey","34025","Monmouth",79,31,"135973342.80","38.60",31,27,50,"154629266.40","43.90",33,30,52,"256634","133531.50","10744.20",16,49,"15188.40",18,51,1.11,1.04,1.49,1.42,1.263,17,41,"316673","17.50","55471.40",29,"21.40","67665.10",31,"144336","19.50","28095.50",28,"23.60","33991.30",27,"10785","3874.40",27,"4349",30,-100.65,36,-109.18,39,"16089","6.30",36,,,,41,41,41,,,,41,41,41,18.6,1.22,"6.50",27,26,26.5,21.9,2.02,"9.20",32,30,31,37,33.8,41,41,7,33.7,38,34.8,40
"New Jersey","34029","Ocean",86,22,"487017456.70","45.30",32,21,28,"548554217.90","51.00",9,22,23,"162187","100574.80","25232.20",5,62,"33256.00",8,62,1.23,1.17,1.34,1.29,1.257,18,53,"359630","24.40","87628.70",21,"30.50","109808.80",22,"196610","34.20","67330.10",17,"42.50","83462.70",17,"37087","33273.20",62,"34703",60,361.32,19,375.81,34,"13013","8.00",28,,,,34,34,34,,,,34,34,34,10.4,1.24,"11.90",26,15,20.5,6.99,4.53,"64.80",27,2,14.5,30,27.3,34,34,40,30.4,7,30.2,7
"New Jersey","34033","Salem",12,6,"167859252.20","50.50",33,15,1,"203401765.90","61.10",26,14,18,"20660","14612.70","7265.60",27,56,"9145.70",29,56,1,1,1,1,1,44,6,"30496","34.50","10524.60",10,"52.20","15909.90",8,"13323","35.30","4706.70",15,"52.90","7046.60",10,102,64,45,83,50,680,14,775.92,32,"1381","6.70",35,36.91,1.58,"4.30",23,19,21,36.91,2.73,"7.40",22,17,19.5,75.5,40.05,"53.00",2,2,2,79.4,56.36,"71.00",3,1,2,6,11.5,22,19.5,16,23.3,19,28.3,13
"New Jersey","34039","Union",36,5,"7165787.60","16.50",34,59,58,"14097319.90","32.50",61,46,55,"217047","54518.60","5153.90",29,12,"11266.20",24,14,1,1,1,1,1,45,35,"169081","1.90","3200.00",61,"4.70","8023.10",57,"59847","1.90","1120.30",61,"4.60","2744.00",59,120,2.1,5,7,5,-375.64,61,-330.27,44,"8343","3.80",44,96.57,2.47,"2.60",18,24,21,"1161.88",12.81,"1.10",12,29,20.5,24,4.97,"20.70",10,7,8.5,74.93,31.76,"42.40",7,8,7.5,9,14.8,23,20.5,10,37,53,35.9,53
"New York","36000","State Summary",819,229,"1506983375.00","60.10",38.5,10.5,39.1,"1613455179.00","64.30",40.8,10.8,20.9,"5860538","3306215.30","115547.90",27.9,17.9,"318434.40",22.8,20.1,1.64,1.01,1.55,1.03,1.304,,45.1,"3489081","13.40","466930.70",37.5,"16.20","566663.50",37.6,"1525908","15.00","228602.30",38.1,"17.90","272452.90",38.8,"70094","35751.90",23.1,"38488",172,,49.6,,24.8,"307310","9.30",41.3,420.3,49.1,"11.70",20.3,18.6,19.4,639,74.9,"11.70",166,19.5,20.1,326.4,19.9,"6.10",22,24.5,23.25,638.1,79.2,"12.40",20.1,26.8,23.4,20.6,21.4,19.8,20.1,211,259.6,23.4,27.8,23.4
"New York","36005","Bronx",65,10,"31551285.00","67.30",35,4,54,"33276235.00","71.00",54,6,33,"299438","109345.90","2797.50",40,18,"4543.70",38,18,3,1,1,1,1.5,6,56,"260621","8.80","23011.90",51,"9.20","23892.00",53,"100860","9.00","9081.50",52,"9.30","9413.70",53,466,95.1,16,96,11,-73.08,33,-124.67,24,"4787","1.60",55,117.53,4.89,"4.20",13,20,16.5,177.82,11.2,"6.30",14,20,17,24.8,2.53,"10.20",19,18,18.5,62.37,8.74,"14.00",20,25,22.5,13,17.5,18,17,11,34.7,13,31.6,14
"New York","36047","Kings",275,20,"64521475.20","72.50",36,3,53,"70047688.30","78.70",44,4,15,"687358","423894.50","9739.60",18,8,"32226.20",11,10,2,1,4,1,2,3,59,"920820","2.70","25287.80",59,"4.40","40316.10",59,"357664","2.90","10365.70",59,"4.80","17193.50",57,"3092",120.7,6,260,6,-292.84,56,-304.74,27,"26792","3.90",43,12.16,0.7,"5.80",30,15,22.5,21.13,1.65,"7.80",27,14,20.5,13,1.39,"10.70",25,16,20.5,115.24,5.7,"4.90",26,39,32.5,22,21.5,24,20.5,27,34.6,16,28,15
"New York","36059","Nassau",29,34,"181475302.70","63.60",37,7,21,"202022207.30","70.80",27,7,9,"622087","189982.10","27356.30",4,33,"52744.70",6,36,1.03,1.01,1.12,1.04,1.05,30,47,"133565","41.60","55592.60",8,"56.80","75929.10",4,"55251","43.80","24172.70",8,"59.10","32676.70",7,"2179","1740.00",53,"1959",57,-267.48,55,-259.44,26,"16097","2.60",49,,,,40,40,40,,,,40,40,40,25.3,2.67,"10.60",18,17,17.5,64.09,7.01,"10.90",21,29,25,33,28.8,40,40,38,29.6,6,25.4,4
"New York","36061","New York",160,44,"17731403.30","57.80",38,13,3,"19427435.60","63.30",58,11,1,"2415773","1881693.90","18729.60",13,5,"138257.90",1,6,2,1,1,1,1.25,20,52,"917906","17.30","158474.80",30,"18.80","172547.60",36,"489490","16.50","80999.30",32,"18.10","88659.20",38,"23011","4522.50",14,"4931",12,-443.29,63,-503.42,29,"201519","8.30",27,45.08,13.19,"29.30",6,3,4.5,45.74,15.62,"34.10",9,2,5.5,37.1,7.26,"19.60",9,8,8.5,57.33,12.42,"21.70",16,21,18.5,2,6.5,2,5.5,14,25,12,18.1,12
"New York","36081","Queens",32,8,"43265987.20","65.00",39,5,31,"54598634.80","82.10",47,3,4,"647912","54003.90","3911.30",35,24,"12178.70",21,37,2,1,1,1,1.25,21,51,"137411","28.70","39379.10",20,"49.60","68192.90",9,"53740","29.90","16063.60",21,"50.00","26866.50",12,"1638","1132.60",50,"1273",47,-63,32,-23.33,23,"11926","1.80",53,79.46,11.36,"14.30",7,6,6.5,225.56,26.28,"11.70",3,12,7.5,54,3.76,"7.00",12,25,18.5,59.84,19.95,"33.30",11,11,11,8,12.5,5,7.5,26,30.5,11,23.9,8
"New York","36085","Richmond",105,13,"36973144.40","37.80",40,29,46,"44583867.60","45.50",52,28,13,"115173","113340.50","8125.60",22,11,"14115.60",19,11,1,1,2,1,1.25,22,50,"464204","9.20","42748.90",50,"11.80","54738.20",49,"173854","9.20","15976.20",50,"11.80","20455.10",50,724,52.4,7,73,7,-188.7,49,-199.74,25,"8558","7.40",32,61.75,4.38,"7.10",15,12,13.5,64.59,5.52,"8.50",17,13,15,15.2,0.6,"3.90",34,33,33.5,20.61,3.33,"16.10",31,23,27,25,23.5,14,15,4,33.3,37,27,36
"New York","36103","Suffolk",41,74,"1045812945.10","59.90",41,11,44,"1100377238.40","63.00",4,12,45,"650509","326921.50","42691.30",47,25,"59892.00",47,24,1.06,1.04,1.25,1.16,1.131,26,3,"165034","43.30","71395.50",35,"46.10","76088.80",41,"105775","47.70","50407.20",36,"51.00","53973.80",44,"37673","27761.10",18,"29561",15,225.88,50,214.55,16,"32817","5.00",14,,,,46,46,46,,,,46,46,46,127.2,0.71,"0.60",31,43,37,144.7,6.86,"4.70",22,40,31,44,41.5,46,46,88,32.9,57,33.8,57
"New York","36119","Westchester",112,26,"85651832.70","58.50",42,12,61,"89121872.20","60.90",40,15,47,"422288","207033.00","2196.70",44,19,"4475.60",39,19,1,1,1,1,1,46,43,"489520","10.40","51040.10",47,"11.20","54958.80",50,"189274","11.40","21536.10",47,"12.30","23214.40",49,"1311",327.5,21,335,17,-351.22,59,-378.41,28,"4814","1.10",57,104.17,14.45,"13.90",5,7,6,104.17,14.55,"14.00",10,9,9.5,29.8,0.89,"3.00",28,36,32,114.02,15.24,"13.40",14,26,20,18,19,9,9.5,3,39,35,34.3,41
"Pennsylvania","42000","State Summary",446,65,"64963912.00","22.50",44,45.3,50.7,"92694052.00","32.10",55.3,40.3,26.7,"1142264","756812.20","49917.00",25.3,3,"76405.40",23,3,1,1,1,1,1,,37,"1790553","1.60","28939.00",56.3,"2.10","38171.50",56.3,"766710","1.70","13087.50",56.7,"2.30","17254.60",56.3,"98340","1795.90",2,"2321",6,,55.3,,20,"40006","5.30",52,532.7,11.3,"2.10",19.3,24.7,22,841.7,20.6,"2.40",56,25.3,22,190.6,12.6,"6.60",17.3,27.7,22.5,322,67.7,"21.00",18.3,27,22.7,22.3,22.3,22.7,22,109,105,40,30.3,37
"Pennsylvania","42017","Bucks",37,8,"21505359.10","18.90",43,52,62,"26537174.00","23.30",56,54,44,"259721","76054.60","5345.70",28,2,"6646.60",32,2,,,,,,,61,"159507","3.70","5962.40",57,"4.50","7248.10",58,"65216","3.90","2537.00",58,"4.70","3068.80",58,"4978",253.4,3,304,3,-234.06,53,-268.29,20,,,60,275.85,2.27,"0.80",20,30,25,275.85,2.5,"0.90",23,31,27,14.3,0.68,"4.70",32,32,32,24.12,1,"4.10",37,43,40,32,28.5,28,27,43,39.5,41,33.7,42
"Pennsylvania","42045","Delaware",26,9,"18721672.70","34.10",44,33,51,"26217679.80","47.70",57,24,24,"219145","33638.90","2183.20",45,3,"6107.70",33,4,1,1,1,1,1,47,17,"80081","9.90","7918.90",49,"12.70","10171.30",48,"33412","9.90","3300.40",49,"12.70","4246.50",48,"4581",582.6,2,749,2,-206.69,51,-202.13,19,"2461","1.10",58,34.71,0.91,"2.60",28,23,25.5,34.71,2.03,"5.80",25,21,23,42,3.5,"8.30",14,23,18.5,75.17,17.13,"22.80",13,18,15.5,23,22,25,23,16,34,43,30.6,38
"Pennsylvania","42101","Philadelphia",383,48,"24736880.00","20.60",45,51,39,"39939197.70","33.30",53,43,12,"663398","647118.70","42388.10",3,4,"63651.10",4,3,1,1,1,1,1,48,33,"1550965","1.00","15057.70",63,"1.30","20752.10",63,"668082","1.10","7250.10",63,"1.50","9939.30",63,"88781",959.9,1,"1267",1,-391.02,62,-396.1,21,"37545","5.90",38,222.19,8.05,"3.60",10,21,15.5,531.23,16.09,"3.00",8,24,16,134.3,8.36,"6.20",6,28,17,222.65,49.61,"22.30",5,20,12.5,12,16.3,15,16,50,31.5,36,26.6,31
"Virginia","51000","State Summary",388,152,"3705800351.00","39.20",54.5,32.2,32.9,"4147752475.00","43.80",32.2,33.1,21.4,"646495","609432.00","76544.60",39.7,37.7,"118869.40",40.1,37.6,1.52,1.06,1.89,1.26,1.43,,39.9,"1522313","15.90","242031.20",23,"21.40","325269.00",22.8,"652662","16.90","110543.90",24.2,"22.30","145603.60",24,"22073","11377.00",36.2,"12519",657,,23.4,,9.8,"77115","12.70",21.3,341,34.5,"10.10",28.6,26.2,27.4,327.7,79.2,"24.20",292,24.3,26.8,103.7,40.7,"39.20",38.3,32.5,35.4,215.1,27.3,"12.70",36.1,33.2,34.7,29.4,31.4,25.7,26.8,51,563.6,40.5,28.5,41.3
"Virginia","51001","Accomack",10,29,"1176500299.00","60.70",46,10,6,"1301181246.20","67.20",3,8,11,"13051","9361.30","2119.20",46,59,"3066.00",46,61,1.08,1.21,1.17,1.25,1.177,25,26,"33115","50.80","16824.90",3,"56.80","18793.50",5,"21031","57.00","11985.90",3,"62.60","13160.80",5,"4239","3446.00",55,"3567",52,"1202.90",8,"1203.10",6,"1171","9.00",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,26,9,26.4,11
"Virginia","51073","Gloucester",8,4,"234753843.40","33.30",47,36,25,"270399302.70","38.40",24,37,20,"9341",720.2,181.3,59,37,229.9,59,33,1,1,2,1.67,1.417,9,42,"37001","31.20","11550.20",17,"34.70","12825.10",19,"16066","32.70","5254.40",20,"36.30","5830.50",22,757,377.3,39,411,38,702.71,13,699,8,954,"10.20",22,,,,,,,,,,,,,,,,,,,,,,,,,11,,16,,2,29.9,39,28.9,43
"Virginia","51093","Isle of Wight",8,5,"144135414.60","18.70",49,53,43,"149468550.70","19.40",34,59,29,"10806","8446.50",889.7,51,29,981.7,51,27,1,1,1,1.14,1.036,33,19,"35740","23.60","8421.80",24,"24.70","8814.20",25,"15001","23.90","3587.40",25,"25.00","3752.50",25,174,66.4,31,68,27,-35.71,31,-41.86,11,847,"7.80",30,,,,39,39,39,,,,39,39,39,1.1,0.11,"10.10",40,19,29.5,1.08,0.12,"11.00",46,28,37,38,34.3,39,39,3,32.7,49,31.2,46
"Virginia","51095","James City",11,3,"127926015.20","32.60",50,38,57,"135675159.80","34.50",35,42,41,"28975","27750.70","4218.30",33,52,"4822.10",35,49,,,,,,,60,"70673","22.80","16099.20",25,"24.20","17068.40",26,"31392","22.40","7024.30",26,"23.70","7443.60",26,"1232",553.3,37,590,35,412.71,18,401.71,9,"3728","12.90",9,,,,49,49,49,,,,49,49,49,16,0.05,"0.30",44,45,44.5,16.05,0.05,"0.30",48,48,48,49,46.8,49,49,,36,51,32.6,55
"Virginia","51103","Lancaster",3,5,"159137034.80","32.60",51,37,37,"170290604.20","34.90",29,39,30,"4509","4241.30",667.7,52,46,927.5,52,43,1,1,1,1,1,49,32,"11129","32.90","3658.40",14,"35.40","3940.30",18,"7544","34.90","2632.00",16,"37.60","2834.80",20,"1609","1039.70",46,"1115",42,"1336.00",4,"1333.00",3,200,"4.40",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,,31.3,
"Virginia","51115","Mathews",2,13,"154235530.60","46.00",52,20,27,"196209999.80","58.50",28,17,19,"1493","1434.20",294.6,58,39,503.6,55,45,1,1,1.5,2.5,1.5,7,45,"8880","42.20","3745.90",7,"52.40","4654.70",7,"5702","43.30","2471.30",9,"54.30","3094.40",9,"1309",872.3,47,"1062",49,"1388.50",2,"1386.00",2,101,"6.80",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,,28.7,
"Virginia","51119","Middlesex",4,10,"150990862.50","31.60",53,39,32,"157310536.70","32.90",31,45,21,"3287",20.2,2.2,63,28,2.7,63,26,1,1,1.33,2,1.333,15,54,"10717","34.40","3688.90",11,"35.90","3842.40",17,"7211","37.50","2703.20",13,"39.10","2817.30",19,"1998","1365.50",49,"1424",44,"1318.00",6,"1303.50",4,205,"6.20",37,,,,,,,,,,,,,,,,,,,,,,,,,14,,26,,3,30.6,,29.5,
"Virginia","51131","Northampton",3,11,"579931133.70","61.30",56,9,41,"608854469.30","64.30",6,10,38,"5197","5259.90","1189.70",50,61,"1526.60",49,60,1,1,1.6,1.8,1.35,13,39,"12184","56.40","6874.90",1,"59.80","7289.00",2,"7323","57.50","4211.40",2,"60.80","4454.30",6,845,716.4,60,741,55,"1447.00",1,"1447.00",1,480,"9.20",23,,,,45,45,45,,,,45,45,45,31,0.54,"1.70",35,41,38,32.88,2,"6.10",33,37,35,43,41.5,45,45,3,32.4,44,32.2,49
"Virginia","51133","Northumberland",3,7,"98364681.80","17.10",57,56,42,"113515594.30","19.70",36,58,26,"2491","2424.00",377.8,56,53,428.3,57,53,1.75,1.75,1,1,1.375,10,46,"12304","18.90","2327.20",28,"21.80","2687.90",28,"9096","19.20","1750.20",29,"22.20","2022.90",30,"2161",605,22,700,20,"1269.33",7,"1266.67",5,430,"17.30",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4,46,31,50
"Virginia","51193","Westmoreland",4,5,"77822564.90","11.90",62,63,55,"86568282.00","13.20",41,63,54,"3424","3266.60",322.7,57,48,369.4,58,47,1,1,1,1,1,50,31,"17557","12.20","2144.40",43,"13.50","2375.10",46,"10752","12.50","1340.60",45,"13.80","1486.70",46,"2530",496.1,13,553,14,"1179.75",9,"1172.25",7,426,"12.40",12,,,,32,27,29.5,,,,32,27,29.5,,,,51,51,51,,,,51,51,51,,40.3,,29.5,1,34.8,55,35.5,54
"Virginia","51199","York",14,5,"88937306.30","26.00",63,43,38,"100274440.00","29.30",38,47,16,"21738","21441.30","2550.90",43,35,"3717.10",43,34,2.5,1,1,1,1.375,11,23,"66471","15.30","10179.80",36,"19.50","12940.60",35,"27150","15.80","4289.10",33,"19.80","5371.30",35,667,219.6,25,240,24,-139.15,42,-141.31,14,,,7,,,"346400.00",,,,0.16,36.19,"52.30",,,,0,36.19,"53.80",,,,0.01,,,,,,42,,31,,4,31.4,28,28.1,30
"Virginia","51650","Hampton (city)",33,7,"79680273.50","46.90",48,18,52,"102009566.20","60.00",37,16,3,"53937","45522.80","5032.70",31,23,"9000.70",30,22,3,1,4,1,2.25,2,55,"137081","14.20","19519.70",38,"23.70","32501.80",27,"60168","13.90","8380.70",40,"22.90","13784.70",28,186,70.2,29,109,40,-171.59,46,-116.59,15,"5529","10.30",21,123.07,22.39,"18.20",1,4,2.5,127.44,23.58,"18.50",4,4,4,,,,50,48,49,6.45,0.28,"4.40",42,42,42,27,25.8,1,4,4,34.4,,23,
"Virginia","51700","Newport News (city)",44,8,"147510791.80","62.60",54,8,23,"155885503.40","66.10",32,9,5,"96225","97218.10","4379.60",32,10,"5853.30",34,9,4,1,4,1,2.5,1,58,"181323","16.70","30360.20",32,"17.80","32293.10",39,"77175","15.30","11811.70",35,"16.20","12465.50",41,272,34.1,10,36,8,-88.39,34,-108.61,12,"7400","7.70",31,10.58,0.98,"9.30",26,11,18.5,10.58,1.53,"14.50",28,8,18,12.9,0.62,"4.80",33,30,31.5,71.13,5.77,"8.10",25,32,28.5,26,25,20,18,1,29.8,,24.3,
"Virginia","51710","Norfolk (city)",80,14,"36178597.10","28.60",55,41,14,"48447576.40","38.30",50,38,2,"140246","138317.30","19240.10",9,14,"32955.90",10,15,2,1,4,1,2,4,49,"245452","14.40","35453.60",37,"21.70","53199.20",29,"96121","14.00","13427.60",39,"21.50","20637.30",33,408,76.5,11,135,21,-210.77,52,-186.75,17,"15257","10.90",18,96.89,9.06,"9.30",9,10,9.5,79.08,13.48,"17.10",11,6,8.5,23.9,2.13,"8.90",21,21,21,50.56,11.37,"22.50",17,19,18,10,15.3,7,8.5,1,28.6,47,20.8,37
"Virginia","51735","Poquoson (city)",3,1,"43330356.80","75.20",58,2,16,"51512110.70","89.40",49,1,17,"1740","1659.00","1213.20",49,32,"1470.20",50,32,1,1,2,1,1.25,23,30,"12077","51.40","6203.70",2,"76.80","9271.20",1,"4751","50.80","2412.20",5,"76.50","3632.90",1,20,14.4,51,20,63,80.67,26,149.33,10,203,"11.70",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8,48,28.1,52
"Virginia","51740","Portsmouth (city)",31,7,"37236928.20","38.90",59,26,15,"45346942.80","47.40",51,25,7,"43715","44589.80","10220.80",17,16,"15364.00",17,21,1,1,2,1,1.25,24,18,"96135","13.60","13052.10",39,"20.40","19595.30",33,"40987","14.00","5753.40",38,"21.50","8829.20",32,87,46.6,41,53,41,-127.88,39,-63.47,13,"13839","31.70",2,19.22,0.97,"5.10",27,17,22,19.22,3.32,"17.30",21,5,13,0.2,0.17,"73.00",38,1,19.5,15.35,5.92,"38.60",23,9,16,21,20.8,11,13,5,28.7,56,24.6,51
"Virginia","51800","Suffolk City",28,7,"83503425.40","16.70",60,58,9,"89497544.90","17.90",39,61,8,"29850","28242.10","2098.70",2,51,"2269.80",5,52,1,1,1,1,1,51,48,"86184","15.30","13210.40",5,"16.20","13984.70",11,"34368","14.80","5096.30",7,"15.70","5388.70",11,197,44.3,52,46,48,-189.07,23,-209.13,22,"3675","12.30",40,10.94,0.04,"0.40",33,32,32.5,10.94,0.04,"0.40",33,32,32.5,5.3,0.08,"1.50",41,42,41.5,6.02,0.43,"7.20",40,35,37.5,41,37,33,32.5,5,27,1,25,3
"Virginia","51810","Virginia Beach",99,11,"285625289.90","43.60",61,22,60,"365305045.30","55.70",17,20,39,"176470","169516.70","21545.40",6,45,"35380.60",7,48,1.5,1,2.5,1,1.5,8,44,"448290","8.60","38715.90",52,"15.40","69192.50",43,"180824","9.10","16412.20",51,"15.80","28596.20",43,"3382","1333.30",33,"1647",36,-354.71,60,-320.87,18,"22670","12.80",10,80.35,1.01,"1.30",25,28,26.5,80.35,1.06,"1.30",30,28,29,13.3,0.87,"6.50",30,27,28.5,15.69,1.33,"8.50",36,31,33.5,31,27.5,30,29,5,38.6,54,32.3,56
"Mid-Atlantic Region","84000","Mid Atlantic Summary","3603",864,"16593053285.00","38.70",32,32,32,"18713858747.00","43.60",32,32,32,"12811986","6825563.10","556624.10",32,32,"973343.30",32,32,1.17,0.94,1.45,1.22,1.193,,32,"14613310","11.70","1712511.50",32,"14.60","2129153.80",32,"6428518","14.20","911846.60",32,"17.60","1134400.70",32,"429804","221577.50",32,"248488","2016.00",,32,,32,"657299","9.60",31.5,"3434.50",193.6,"5.60",26,26,26,"5929.10",375.5,"6.30","1272.00",26,26,"1621.70",256.1,"15.80",25.7,25.6,25.67,"2770.20",722.3,"26.10",25.9,26.6,26.2,26.1,25.9,26.4,26,"2004","1962.70",29,31.1,29
