"Port","State"
"Top Ten Ports, US","All US"
"Accomac, VA","VA"
"Akutan, AK","AK"
"Alaska Penninsula (Other), AK","AK"
"Aleutian Islands (Other), AK","AK"
"Anacortes-La Conner, WA","WA"
"Anchorage, AK","AK"
"Apalachicola, FL","FL"
"Aransas Pass-Rockport, TX","TX"
"Assumption, MA","MA"
"Astoria, OR","OR"
"Atlantic City, NJ","NJ"
"Avila Beach, CA","CA"
"Barnegat Light, NJ","NJ"
"Bass Harbor, ME","ME"
"Bay Center-South Bend, WA","WA"
"Bayou La Batre, AL","AL"
"Beals Island, ME","ME"
"Beaufort-Morehead City, NC","NC"
"Beaufort, SC","SC"
"Belford, NJ","NJ"
"Belhaven-Washington, NC","NC"
"Belle Rose-Pierre Part","LA"
"Bellingham, WA","WA"
"Bethel-Aniak, AK","AK"
"Blaine, WA","WA"
"Bodega Bay, CA","CA"
"Bon Secour-Gulf Shores, AL","AL"
"Boothbay Harbor, ME","ME"
"Boston, MA","MA"
"Bremerton, WA","WA"
"Bristol Bay (Other), AK","AK"
"Brookings, OR","OR"
"Brownsville-Port Isabel, TX","TX"
"Brunswick, GA","GA"
"Cameron, LA","LA"
"Cape Canaveral, FL","FL"
"Cape Charles-Oyster, VA","VA"
"Cape May-Wildwood, NJ","NJ"
"Charleston-Mt. Pleasant, SC","SC"
"Chincoteague, VA","VA"
"Columbia, NC","NC"
"Coos Bay-Charleston, OR","OR"
"Cordova, AK","AK"
"Cortez, FL","FL"
"Craig, AK","AK"
"Cranberry Isles, ME","ME"
"Crescent City, CA","CA"
"Crystal River, FL","FL"
"Cundys Harbor, ME","ME"
"Cushing, ME","ME"
"Darien-Bellville, GA","GA"
"Delacroix-Yscloskey, LA","LA"
"Delcambre, LA","LA"
"Dillingham-Togiak, AK","AK"
"Dulac-Chauvin, LA","LA"
"Dutch Harbor, AK","AK"
"Egegik, AK","AK"
"Elizabeth City, NC","NC"
"Empire-Venice, LA","LA"
"Engelhard-Swanquarter, NC","NC"
"Eureka, CA","CA"
"Everett, WA","WA"
"Everglades City, FL","FL"
"Excursion Inlet, AK","AK"
"Fairhaven, MA","MA"
"Fernandina Beach, FL","FL"
"Fort Bragg, CA","CA"
"Fort Myers, FL","FL"
"Freeport, TX","TX"
"Friendship, ME","ME"
"Ft. Pierce-St.Lucie, FL","FL"
"Galveston, TX","TX"
"Garibaldi, OR","OR"
"Gloucester, MA","MA"
"Golden Meadow-Leeville, LA","LA"
"Grand Isle, LA","LA"
"Greenport, NY","NY"
"Gulfport-Biloxi, MS","MS"
"Haines, AK","AK"
"Hampton Bay-Shinnicock, NY","NY"
"Hampton Roads Area, VA","VA"
"Harrington, ME","ME"
"Hernando, FL","FL"
"Homer, AK","AK"
"Honolulu, HI","HI"
"Houston, TX","TX"
"Iberia, LA","LA"
"Ilwaco-Chinook, WA","WA"
"Interior (Other), AK","AK"
"Intracoastal City, LA","LA"
"Jonesport, ME","ME"
"Juneau, AK","AK"
"Kenai, AK","AK"
"Ketchikan, AK","AK"
"Key West, FL","FL"
"Kodiak, AK","AK"
"La Push, WA","WA"
"Lafitte-Barataria, LA","LA"
"Little Compton, RI","RI"
"Long Beach-Barnegat, NJ","NJ"
"Los Angeles, CA","CA"
"Machiasport, ME","ME"
"Mayport, FL","FL"
"Milbridge, ME","ME"
"Montauk, NY","NY"
"Monterey, CA","CA"
"Morgan City-Berwick, LA","LA"
"Morro Bay, CA","CA"
"Moss Landing, CA","CA"
"Naknek, AK","AK"
"Naples, FL","FL"
"Neah Bay, WA","WA"
"New Bedford, MA","MA"
"New London, CT","CT"
"Newington, NH","NH"
"Newport, OR","OR"
"Newport, RI","RI"
"North Kingstown, RI","RI"
"Norton/Kotzebue Sound, AK","AK"
"Ocean City, MD","MD"
"Olympia, WA","WA"
"Oriental-Vandemere, NC","NC"
"Orleans, LA","LA"
"Owls Head, ME","ME"
"Pago Pago, AS","AS"
"Palacios, TX","TX"
"Panama City, FL","FL"
"Pascagoula-Moss Point, MS","MS"
"Pelican, AK","AK"
"Pembroke, ME","ME"
"Petersburg, AK","AK"
"Pilot Point-Ugashik, AK","AK"
"Point Judith, RI","RI"
"Point Pleasant, NJ","NJ"
"Port Angeles, WA","WA"
"Port Arthur, TX","TX"
"Port Clyde, ME","ME"
"Port Hueneme-Oxnard-Ventura, CA","CA"
"Port Lavaca, TX","TX"
"Port Moller, AK","AK"
"Port of Lake Charles, LA","LA"
"Port Orford, OR","OR"
"Port St. Joe, FL","FL"
"Port Townsend, WA","WA"
"Portland, ME","ME"
"Portsmouth, NH","NH"
"Poulsbo, WA","WA"
"Princeton-Half Moon Bay, CA","CA"
"Prospect Harbor, ME","ME"
"Provincetown-Chatham, MA","MA"
"Reedville, VA","VA"
"Rockland, ME","ME"
"San Diego, CA","CA"
"San Francisco Area, CA","CA"
"Santa Barbara, CA","CA"
"Savannah, GA","GA"
"Seabrook, TX","TX"
"Seattle, WA","WA"
"Seward, AK","AK"
"Shelton, WA","WA"
"Sitka, AK","AK"
"Slidell-Covington, LA","LA"
"Sneads Ferry-Swansboro, NC","NC"
"South Bristol, ME","ME"
"Southeast Alaska (Other), AK","AK"
"Spruce Head, ME","ME"
"St. Augustine, FL","FL"
"St. Martin, LA","LA"
"St. Michael, AK","AK"
"St. Paul, AK","AK"
"Stonington, CT","CT"
"Stonington, ME","ME"
"Stuben, ME","ME"
"Swans Island, ME","ME"
"Tacoma, WA","WA"
"Tampa Bay-St. Petersburg, FL","FL"
"Tenants Harbor, ME","ME"
"Thunderbolt, GA","GA"
"Tillamook, OR","OR"
"Upper Southeast (Other), AK","AK"
"Valdez, AK","AK"
"Vinalhaven, ME","ME"
"Wanchese-Stumpy Point, NC","NC"
"Westport, WA","WA"
"Willapa Bay, WA","WA"
"Winchester Bay, OR","OR"
"Wrangell, AK","AK"
"Yakutat, AK","AK"
"Yukon Delta (Other), AK","AK"
