"","sector","sectorId","industry","industryId"
"1","All Ocean Sectors",8,"All","AL00"
"2","Construction",1,"All","CO00"
"3","Construction",1,"Marine Related Construction","CO01"
"4","Living Resources",2,"All","LR00"
"5","Living Resources",2,"Fish Hatcheries & Aquaculture","LR04"
"6","Living Resources",2,"Fishing","LR03"
"7","Living Resources",2,"Seafood Markets","LR05"
"8","Living Resources",2,"Seafood Processing","LR01"
"9","Minerals",3,"All","MI00"
"10","Minerals",3,"Limestone, Sand & Gravel","MI04"
"11","Minerals",3,"Oil & Gas Exploration and Production","MI02"
"12","Ship & Boat Building",5,"All","SB00"
"13","Ship & Boat Building",5,"Boat Building & Repair","SB02"
"14","Ship & Boat Building",5,"Ship Building & Repair","SB01"
"15","Tourism & Recreation",6,"All","TO00"
"16","Tourism & Recreation",6,"Amusement and Recreation Services NEC","TO08"
"17","Tourism & Recreation",6,"Boat Dealers","TO03"
"18","Tourism & Recreation",6,"Eating & Drinking Places","TO04"
"19","Tourism & Recreation",6,"Hotels & Lodging Places","TO06"
"20","Tourism & Recreation",6,"Marinas","TO02"
"21","Tourism & Recreation",6,"Recreational Vehicle Parks & Campsites","TO07"
"22","Tourism & Recreation",6,"Scenic Water Tours","TO11"
"23","Tourism & Recreation",6,"Sporting Goods Retailers","TO01"
"24","Tourism & Recreation",6,"Zoos, Aquaria","TO10"
"25","Transportation",7,"All","TR00"
"26","Transportation",7,"Deep Sea Freight Transportation","TR02"
"27","Transportation",7,"Marine Passenger Transportation","TR05"
"28","Transportation",7,"Marine Transportation Services","TR07"
"29","Transportation",7,"Search and Navigation Equipment","TR03"
"30","Transportation",7,"Warehousing","TR01"
